index,name,size,type,subtype,alignment,armor_class,armor_type,hit_points,hit_dice,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,saving_throws,skills,senses,languages,challenge_rating,xp,proficiency_bonus,special_abilities,actions,reactions,legendary_actions,legendary_desc,source
owlbear,Owlbear,Large,Monstrosity,,unaligned,13,natural armor,59,7d10+21,"{""walk"": ""40 ft.""}",20,12,17,3,12,7,,"{""perception"": 3}","{""darkvision"": ""60 ft."", ""passive_perception"": 13}",-,3,700,2,"[{""name"": ""Keen Sight and Smell"", ""desc"": ""The owlbear has advantage on Wisdom (Perception) checks that rely on sight or smell.""}]","[{""name"": ""Multiattack"", ""desc"": ""The owlbear makes two attacks: one with its beak and one with its claws.""}, {""name"": ""Beak"", ""desc"": ""Melee Weapon Attack: +7 to hit, reach 5 ft. Hit: 10 (1d10 + 5) piercing damage.""}, {""name"": ""Claws"", ""desc"": ""Melee Weapon Attack: +7 to hit, reach 5 ft. Hit: 14 (2d8 + 5) slashing damage.""}]",,,,OFFICIAL
troll,Troll,Large,Giant,,chaotic evil,15,natural armor,84,8d10+40,"{""walk"": ""30 ft.""}",18,13,20,7,9,7,,,"{""darkvision"": ""60 ft."", ""passive_perception"": 12}",Giant,5,1800,3,"[{""name"": ""Keen Smell"", ""desc"": ""The troll has advantage on Wisdom (Perception) checks that rely on smell.""}, {""name"": ""Regeneration"", ""desc"": ""The troll regains 10 hit points at the start of its turn. If the troll takes acid or fire damage, this trait doesn't function at the start of the troll's next turn. The troll dies only if it starts its turn with 0 hit points and doesn't regenerate.""}]","[{""name"": ""Multiattack"", ""desc"": ""The troll makes three attacks: one with its bite and two with its claws.""}, {""name"": ""Bite"", ""desc"": ""Melee Weapon Attack: +7 to hit, reach 5 ft. Hit: 7 (1d6 + 4) piercing damage.""}, {""name"": ""Claw"", ""desc"": ""Melee Weapon Attack: +7 to hit, reach 5 ft. Hit: 11 (2d6 + 4) slashing damage.""}]",,,,OFFICIAL
mimic,Mimic,Medium,Monstrosity,shapechanger,neutral,12,natural armor,58,9d8+18,"{""walk"": ""15 ft.""}",17,12,15,5,13,8,,"{""stealth"": 5}","{""darkvision"": ""60 ft."", ""passive_perception"": 11}",-,2,450,2,"[{""name"": ""Shapechanger"", ""desc"": ""The mimic can use its action to polymorph into an object or back into its true, amorphous form.""}, {""name"": ""Adhesive (Object Form Only)"", ""desc"": ""The mimic adheres to anything that touches it. A creature adhered to the mimic is also grappled.""}, {""name"": ""False Appearance (Object Form Only)"", ""desc"": ""While the mimic remains motionless, it is indistinguishable from an ordinary object.""}, {""name"": ""Grappler"", ""desc"": ""The mimic has advantage on attack rolls against any creature grappled by it.""}]","[{""name"": ""Pseudopod"", ""desc"": ""Melee Weapon Attack: +5 to hit, reach 5 ft. Hit: 7 (1d8 + 3) bludgeoning damage. Target is subjected to Adhesive trait.""}, {""name"": ""Bite"", ""desc"": ""Melee Weapon Attack: +5 to hit, reach 5 ft. Hit: 7 (1d8 + 3) piercing damage plus 4 (1d8) acid damage.""}]",,,,OFFICIAL
gelatinous-cube,Gelatinous Cube,Large,Ooze,,unaligned,6,,84,8d10+40,"{""walk"": ""15 ft.""}",14,3,20,1,6,1,,,"{""blindsight"": ""60 ft. (blind beyond this radius)"", ""passive_perception"": 8}",-,2,450,2,"[{""name"": ""Ooze Cube"", ""desc"": ""The cube takes up its entire space. Other creatures can enter the space, but must succeed on a DC 12 Dexterity saving throw or be engulfed.""}, {""name"": ""Transparent"", ""desc"": ""Even when the cube is in plain sight, it takes a successful DC 15 Wisdom (Perception) check to spot a cube that has neither moved nor attacked.""}]","[{""name"": ""Pseudopod"", ""desc"": ""Melee Weapon Attack: +4 to hit, reach 5 ft. Hit: 10 (3d6) acid damage.""}, {""name"": ""Engulf"", ""desc"": ""The cube moves up to its speed. A creature whose space the cube enters must make a DC 12 Dexterity saving throw. On a failed save, the cube enters the creature's space and the creature takes 10 (3d6) acid damage and is engulfed.""}]",,,,OFFICIAL
beholder,Beholder,Large,Aberration,,lawful evil,18,natural armor,180,19d10+76,"{""walk"": ""0 ft."", ""fly"": ""20 ft. (hover)""}",10,14,18,17,15,17,"{""intelligence"": 7, ""wisdom"": 7, ""charisma"": 7}","{""perception"": 12}","{""darkvision"": ""120 ft."", ""passive_perception"": 22}","Deep Speech, Undercommon",13,10000,5,"[{""name"": ""Antimagic Cone"", ""desc"": ""The beholder's central eye creates an area of antimagic, as in the antimagic field spell, in a 150-foot cone.""}]","[{""name"": ""Bite"", ""desc"": ""Melee Weapon Attack: +5 to hit, reach 5 ft. Hit: 14 (4d6) piercing damage.""}, {""name"": ""Eye Rays"", ""desc"": ""The beholder shoots three of its magical eye rays at random, choosing one to three targets it can see within 120 feet.""}]",,"[{""name"": ""Eye Ray"", ""desc"": ""The beholder uses one random eye ray.""}]",The beholder can take 3 legendary actions.,OFFICIAL
mind-flayer,Mind Flayer,Medium,Aberration,,lawful evil,15,breastplate,71,13d8+13,"{""walk"": ""30 ft.""}",11,12,12,19,17,17,"{""intelligence"": 7, ""wisdom"": 6, ""charisma"": 6}","{""arcana"": 7, ""deception"": 6, ""insight"": 6, ""perception"": 6, ""persuasion"": 6, ""stealth"": 4}","{""darkvision"": ""120 ft."", ""passive_perception"": 16}","Deep Speech, Undercommon, telepathy 120 ft.",7,2900,3,"[{""name"": ""Magic Resistance"", ""desc"": ""The mind flayer has advantage on saving throws against spells and other magical effects.""}, {""name"": ""Innate Spellcasting (Psionics)"", ""desc"": ""The mind flayer's innate spellcasting ability is Intelligence (spell save DC 15). It can innately cast the following spells: At will: detect thoughts, levitate. 1/day each: dominate monster, plane shift (self only).""}]","[{""name"": ""Tentacles"", ""desc"": ""Melee Weapon Attack: +7 to hit, reach 5 ft. Hit: 15 (2d10 + 4) psychic damage. DC 15 Intelligence save or be stunned until the end of the target's next turn.""}, {""name"": ""Extract Brain"", ""desc"": ""Melee Weapon Attack: +7 to hit, reach 5 ft., one incapacitated humanoid grappled by the mind flayer. Hit: The target takes 55 (10d10) piercing damage. If this damage reduces the target to 0 hit points, the mind flayer kills the target by extracting and devouring its brain.""}, {""name"": ""Mind Blast (Recharge 5-6)"", ""desc"": ""The mind flayer magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 15 Intelligence saving throw or take 22 (4d8 + 4) psychic damage and be stunned for 1 minute.""}]",,,,OFFICIAL
tarrasque,Tarrasque,Gargantuan,Monstrosity,titan,unaligned,25,natural armor,676,33d20+330,"{""walk"": ""40 ft.""}",30,11,30,3,11,11,"{""intelligence"": 5, ""wisdom"": 9, ""charisma"": 9}",,"{""blindsight"": ""120 ft."", ""passive_perception"": 10}",-,30,155000,9,"[{""name"": ""Legendary Resistance (3/Day)"", ""desc"": ""If the tarrasque fails a saving throw, it can choose to succeed instead.""}, {""name"": ""Magic Resistance"", ""desc"": ""The tarrasque has advantage on saving throws against spells and other magical effects.""}, {""name"": ""Reflective Carapace"", ""desc"": ""Any time the tarrasque is targeted by a magic missile spell, a line spell, or a spell that requires a ranged attack roll, roll a d6. On a 1 to 5, the tarrasque is unaffected. On a 6, the tarrasque is unaffected, and the effect is reflected back at the caster as though it originated from the tarrasque.""}, {""name"": ""Siege Monster"", ""desc"": ""The tarrasque deals double damage to objects and structures.""}]","[{""name"": ""Multiattack"", ""desc"": ""The tarrasque can use its Frightful Presence. It then makes five attacks: one with its bite, two with its claws, one with its horns, and one with its tail.""}, {""name"": ""Bite"", ""desc"": ""Melee Weapon Attack: +19 to hit, reach 10 ft. Hit: 36 (4d12 + 10) piercing damage. If the target is a creature, it is grappled.""}, {""name"": ""Claw"", ""desc"": ""Melee Weapon Attack: +19 to hit, reach 15 ft. Hit: 28 (4d8 + 10) slashing damage.""}, {""name"": ""Horns"", ""desc"": ""Melee Weapon Attack: +19 to hit, reach 10 ft. Hit: 32 (4d10 + 10) piercing damage.""}, {""name"": ""Tail"", ""desc"": ""Melee Weapon Attack: +19 to hit, reach 20 ft. Hit: 24 (4d6 + 10) bludgeoning damage.""}, {""name"": ""Frightful Presence"", ""desc"": ""Each creature of the tarrasque's choice within 120 feet must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute.""}, {""name"": ""Swallow"", ""desc"": ""The tarrasque makes one bite attack against a Large or smaller creature it is grappling. If the attack hits, the target takes the bite's damage and is swallowed.""}]",,"[{""name"": ""Attack"", ""desc"": ""The tarrasque makes one claw attack or tail attack.""}, {""name"": ""Move"", ""desc"": ""The tarrasque moves up to half its speed.""}, {""name"": ""Chomp (Costs 2 Actions)"", ""desc"": ""The tarrasque makes one bite attack or uses its Swallow.""}]",The tarrasque can take 3 legendary actions.,OFFICIAL
lich,Lich,Medium,Undead,,any evil alignment,17,natural armor,135,18d8+54,"{""walk"": ""30 ft.""}",11,16,16,20,14,16,"{""constitution"": 10, ""intelligence"": 12, ""wisdom"": 9}","{""arcana"": 18, ""history"": 12, ""insight"": 9, ""perception"": 9}","{""truesight"": ""120 ft."", ""passive_perception"": 19}",Common plus up to five other languages,21,33000,7,"[{""name"": ""Legendary Resistance (3/Day)"", ""desc"": ""If the lich fails a saving throw, it can choose to succeed instead.""}, {""name"": ""Rejuvenation"", ""desc"": ""If it has a phylactery, a destroyed lich gains a new body in 1d10 days.""}, {""name"": ""Spellcasting"", ""desc"": ""The lich is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 20, +12 to hit with spell attacks).""}, {""name"": ""Turn Resistance"", ""desc"": ""The lich has advantage on saving throws against any effect that turns undead.""}]","[{""name"": ""Paralyzing Touch"", ""desc"": ""Melee Spell Attack: +12 to hit, reach 5 ft. Hit: 10 (3d6) cold damage. The target must succeed on a DC 18 Constitution saving throw or be paralyzed for 1 minute.""}]",,"[{""name"": ""Cantrip"", ""desc"": ""The lich casts a cantrip.""}, {""name"": ""Paralyzing Touch (Costs 2 Actions)"", ""desc"": ""The lich uses its Paralyzing Touch.""}, {""name"": ""Frightening Gaze (Costs 2 Actions)"", ""desc"": ""The lich fixes its gaze on one creature it can see within 10 feet. DC 18 Wisdom save or be frightened for 1 minute.""}, {""name"": ""Disrupt Life (Costs 3 Actions)"", ""desc"": ""Each non-undead creature within 20 feet must make a DC 18 Constitution saving throw, taking 21 (6d6) necrotic damage on a failed save.""}]",The lich can take 3 legendary actions.,OFFICIAL
vampire,Vampire,Medium,Undead,shapechanger,lawful evil,16,natural armor,144,17d8+68,"{""walk"": ""30 ft.""}",18,18,18,17,15,18,"{""dexterity"": 9, ""wisdom"": 7, ""charisma"": 9}","{""perception"": 7, ""stealth"": 9}","{""darkvision"": ""120 ft."", ""passive_perception"": 17}",the languages it knew in life,13,10000,5,"[{""name"": ""Shapechanger"", ""desc"": ""The vampire can use its action to polymorph into a Tiny bat or a Medium cloud of mist, or back into its true form.""}, {""name"": ""Legendary Resistance (3/Day)"", ""desc"": ""If the vampire fails a saving throw, it can choose to succeed instead.""}, {""name"": ""Misty Escape"", ""desc"": ""When it drops to 0 hit points outside its resting place, the vampire transforms into a cloud of mist instead of falling unconscious.""}, {""name"": ""Regeneration"", ""desc"": ""The vampire regains 20 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water.""}, {""name"": ""Spider Climb"", ""desc"": ""The vampire can climb difficult surfaces, including upside down on ceilings.""}, {""name"": ""Vampire Weaknesses"", ""desc"": ""The vampire has the following flaws: Forbiddance, Harmed by Running Water, Stake to the Heart, Sunlight Hypersensitivity.""}]","[{""name"": ""Multiattack (Vampire Form Only)"", ""desc"": ""The vampire makes two attacks, only one of which can be a bite attack.""}, {""name"": ""Unarmed Strike (Vampire Form Only)"", ""desc"": ""Melee Weapon Attack: +9 to hit, reach 5 ft. Hit: 8 (1d8 + 4) bludgeoning damage. Instead of dealing damage, the vampire can grapple the target.""}, {""name"": ""Bite (Bat or Vampire Form Only)"", ""desc"": ""Melee Weapon Attack: +9 to hit, reach 5 ft. Hit: 7 (1d6 + 4) piercing damage plus 10 (3d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken.""}, {""name"": ""Charm"", ""desc"": ""The vampire targets one humanoid it can see within 30 feet. DC 17 Wisdom save or be charmed by the vampire.""}, {""name"": ""Children of the Night (1/Day)"", ""desc"": ""The vampire magically calls 2d4 swarms of bats or rats, or 3d6 wolves.""}]",,"[{""name"": ""Move"", ""desc"": ""The vampire moves up to its speed without provoking opportunity attacks.""}, {""name"": ""Unarmed Strike"", ""desc"": ""The vampire makes one unarmed strike.""}, {""name"": ""Bite (Costs 2 Actions)"", ""desc"": ""The vampire makes one bite attack.""}]",The vampire can take 3 legendary actions.,OFFICIAL
imp,Imp,Tiny,Fiend,devil shapechanger,lawful evil,13,,10,3d4+3,"{""walk"": ""20 ft."", ""fly"": ""40 ft.""}",6,17,13,11,12,14,,"{""deception"": 4, ""insight"": 3, ""persuasion"": 4, ""stealth"": 5}","{""darkvision"": ""120 ft."", ""passive_perception"": 11}","Infernal, Common",1,200,2,"[{""name"": ""Shapechanger"", ""desc"": ""The imp can use its action to polymorph into a beast form that resembles a rat, a raven, or a spider, or back into its true form.""}, {""name"": ""Devil's Sight"", ""desc"": ""Magical darkness doesn't impede the imp's darkvision.""}, {""name"": ""Magic Resistance"", ""desc"": ""The imp has advantage on saving throws against spells and other magical effects.""}]","[{""name"": ""Sting (Bite in Beast Form)"", ""desc"": ""Melee Weapon Attack: +5 to hit, reach 5 ft. Hit: 5 (1d4 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save.""}, {""name"": ""Invisibility"", ""desc"": ""The imp magically turns invisible until it attacks or until its concentration ends.""}]",,,,OFFICIAL
balor,Balor,Huge,Fiend,demon,chaotic evil,19,natural armor,262,21d12+126,"{""walk"": ""40 ft."", ""fly"": ""80 ft.""}",26,15,22,20,16,22,"{""strength"": 14, ""constitution"": 12, ""wisdom"": 9, ""charisma"": 12}",,"{""truesight"": ""120 ft."", ""passive_perception"": 13}","Abyssal, telepathy 120 ft.",19,22000,6,"[{""name"": ""Death Throes"", ""desc"": ""When the balor dies, it explodes. Each creature within 30 feet must make a DC 20 Dexterity saving throw, taking 70 (20d6) fire damage on a failed save.""}, {""name"": ""Fire Aura"", ""desc"": ""At the start of each of the balor's turns, each creature within 5 feet takes 10 (3d6) fire damage.""}, {""name"": ""Magic Resistance"", ""desc"": ""The balor has advantage on saving throws against spells and other magical effects.""}, {""name"": ""Magic Weapons"", ""desc"": ""The balor's weapon attacks are magical.""}]","[{""name"": ""Multiattack"", ""desc"": ""The balor makes two attacks: one with its longsword and one with its whip.""}, {""name"": ""Longsword"", ""desc"": ""Melee Weapon Attack: +14 to hit, reach 10 ft. Hit: 21 (3d8 + 8) slashing damage plus 13 (3d8) lightning damage.""}, {""name"": ""Whip"", ""desc"": ""Melee Weapon Attack: +14 to hit, reach 30 ft. Hit: 15 (2d6 + 8) slashing damage plus 10 (3d6) fire damage. The target must succeed on a DC 20 Strength saving throw or be pulled up to 25 feet toward the balor.""}, {""name"": ""Teleport"", ""desc"": ""The balor magically teleports up to 120 feet to an unoccupied space it can see.""}]",,,,OFFICIAL
